All Dates and Details Purchases by Product/Service,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,
All Dates,,,,,,,,,,,,

,Transaction date,Transaction type,Num,Vendor,Memo/Description,Quantity,Rate,Amount,Balance,SKU,Full name,Product/Service full name
,02/16/2022,Expense,,,SHELL OIL 12709705003,,,7.90,"812,990.68",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/16/2022,Expense,,,BHAM AIRPORT AUTH PARKIN,,,29.00,"813,019.68",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/16/2022,Expense,,,RACETRAC2322  00023226,,,10.14,"813,029.82",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/16/2022,Expense,,,HAMPTON INNS,,,253.12,"813,282.94",,Travel,
,02/16/2022,Expense,,,DFW CBC BARAV8 6131203,,,11.53,"813,294.47",,Meals,
,02/16/2022,Expense,,,RACETRAC2322  00023226,,,3.13,"813,297.60",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/16/2022,Expense,,,Tesmec USA Meeting and Tesmec (Italy) Texas meeting,,,508.02,"813,805.62",,Travel,
,02/18/2022,Deposit,,,PIKE ENT AP       PA DIRECT DEPOSIT PIKE ENT AP       PAYABLES          220218,,,"79,355.75","893,161.37",,Rental Revenue,
,02/20/2022,Expense,,,CIRCLE K # 23726,,,47.33,"893,208.70",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/21/2022,Expense,,,TACO CASA #6,,,24.00,"893,232.70",,Meals,
,02/22/2022,Expense,,,MARATHON PETRO234120,,,56.20,"893,288.90",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/22/2022,Expense,,,SHELL OIL 10003581013,,,51.32,"893,340.22",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/23/2022,Expense,,Florida Dept of Revenue,FLA DEPT REVENUE  C0 ACH DEBIT FLA DEPT REVENUE  C01               220223            373918572,,,"-4,873.50","888,466.72",,Sales tax to pay,
,02/24/2022,Expense,,,LOCAL 718,,,24.00,"888,490.72",,Meals,
,02/25/2022,Expense,,,HERTZ TOLL 388003291,,,15.60,"888,506.32",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/27/2022,Expense,,,RACEWAY 6824  55668248,,,32.26,"888,538.58",,Vehicle expenses:Vehicle gas & fuel (deleted),
,02/28/2022,Journal Entry,7,,,,,"-6,384,000.00","-5,495,461.42",,Supplies & Materials - Asset Costs - Rental Fleet,
,02/28/2022,Journal Entry,9,,,,,"59,911.48","-5,435,549.94",,N/R - Sales Tax,
,02/28/2022,Journal Entry,9,,,,,"805,719.52","-4,629,830.42",,Long-term business loans,
,02/28/2022,Journal Entry,10,Florida Dept of Revenue,,,,"-4,873.50","-4,634,703.92",,Florida Department of Revenue Payable,
,02/28/2022,Journal Entry,11,,,,,"-79,355.75","-4,714,059.67",,Rental Revenue,
,02/28/2022,Payment,,,,,,,"-4,714,059.67",,Accounts Receivable (A/R),
,02/28/2022,Journal Entry,17,,,,,"-12,583.33","-4,726,643.00",,Accumulated Depreciation,
,02/28/2022,Journal Entry,22,,,,,"10,516.57","-4,716,126.43",,Owner draws,
,03/03/2022,Expense,,,INTUIT *QuickBooks Online,,,43.40,"-4,716,083.03",,Office expenses:Software & apps,
,03/07/2022,Expense,,,CIRCLE K # 23817,,,87.68,"-4,715,995.35",,Vehicle Expense - Fuel,
,03/07/2022,Expense,,,CIRCLE K # 23817,,,3.36,"-4,715,991.99",,Vehicle Expense - Fuel,
,03/08/2022,Expense,,,EXXONMOBIL    45321981,,,57.78,"-4,715,934.21",,Vehicle Expense - Fuel,
,03/10/2022,Expense,,,GOOGLE *Google Storage,,,2.99,"-4,715,931.22",,Office expenses:Software & apps,
,03/14/2022,Expense,,,BEST BUY      00003830,,,37.04,"-4,715,894.18",,Office expenses:Office supplies,
,03/15/2022,Expense,,,CIRCLE K # 23817,,,67.04,"-4,715,827.14",,Vehicle Expense - Fuel,
,03/16/2022,Expense,,,SHELL OIL 10007765000,,,1.53,"-4,715,825.61",,Vehicle Expense - Fuel,
,03/16/2022,Credit Card Credit,,,BEST BUY      00003830,,,-5.44,"-4,715,831.05",,Office expenses:Office supplies,
,03/16/2022,Expense,,,RACEWAY 6824  55668248,,,74.57,"-4,715,756.48",,Vehicle Expense - Fuel,
,03/16/2022,Expense,,,OFFICEMAX/DEPOT 6371,,,11.31,"-4,715,745.17",,Office expenses:Office supplies,
,03/17/2022,Journal Entry,8,,,,,"1,414.92","-4,714,330.25",,Tooling Sales,
,03/17/2022,Bill Payment (Check),2,Condux Tesmec,,,,,"-4,714,330.25",,Accounts Payable (A/P),
,03/17/2022,Check,1002,"Pearce, Bevill, Leesburg, & Moore, P.C. - CPA",CHECK PAID,,,"1,435.00","-4,712,895.25",,Legal & accounting services:Accounting fees,
,03/17/2022,Expense,,,JIME BURKE AUTOMOTIVE,,,89.89,"-4,712,805.36",,Vehicle expenses,
,03/18/2022,Deposit,,,PIKE ENT AP       PA DIRECT DEPOSIT PIKE ENT AP       PAYABLES          220318,,,"33,789.60","-4,679,015.76",,Rental Revenue,
,03/21/2022,Expense,,Florida Dept of Revenue,FLA DEPT REVENUE  C0 ACH DEBIT FLA DEPT REVENUE  C01               220321            385536387,,,"-2,542.87","-4,681,558.63",,Sales tax to pay,
,03/21/2022,Expense,,,SPECTRUM,,,89.99,"-4,681,468.64",,Utilities:Internet & TV services,
,03/25/2022,Deposit,,,PIKE ENT AP       PA DIRECT DEPOSIT PIKE ENT AP       PAYABLES          220325,,,"1,471.52","-4,679,997.12",,Rental Revenue,
