Detailed Sales Report - Product and Services ALL,,,,,,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,,,,,,
All Dates,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Num,SKU,Customer,Customer full name,Memo/Description,Quantity,Sales price,Amount,Balance,Full name,Product/Service full name,Payment method,Tracking #,Service date,Ship date
Credit Card Processing,,,,,,,,,,,,,,,,,
Credit Card Processing Fee,,,,,,,,,,,,,,,,,
,05/10/2024,Invoice,1143,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,9.85,9.85,"2,050.61",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000358429880,,05/10/2024
,05/15/2024,Invoice,1145,4%,Chain Electric,Chain Electric,4% Credit Card Processing Fee,1.00,52.50,52.50,"2,103.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,QuickBooks Payments-Credit Card,1Z2W49000325380752,,05/15/2024
,05/20/2024,Invoice,1148,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,65.00,65.00,"2,168.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z4309870390533074,,05/10/2024
,05/23/2024,Invoice,1151,4%,AEP/SWEPCO - Shreveport,AEP/SWEPCO - Shreveport,4% Credit Card Processing Fee,1.00,48.00,48.00,"2,216.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000325751959,05/23/2024,05/23/2024
,05/29/2024,Invoice,1153,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,9.25,9.25,"2,225.36",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000325891156,,05/30/2024
,05/29/2024,Invoice,1154,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,10.50,10.50,"2,235.86",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000325891156,,05/30/2024
,05/30/2024,Invoice,1155,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,37.00,37.00,"2,272.86",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000327129459,06/07/2024,06/07/2024
,06/13/2024,Invoice,1158,4%,AEP/SWEPCO Fayetteville - Jimmy,AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,4% Credit Card Processing Fee,1.00,9.25,9.25,"2,282.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000327335351,,06/11/2024
,06/14/2024,Invoice,1160,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,25.00,25.00,"2,307.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z4309870392133510,,06/13/2024
,06/17/2024,Invoice,1161,4%,Power Design & Consulting - Travis,Power Design & Consulting - Travis,4% Credit Card Processing Fee,1.00,20.00,20.00,"2,327.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000328095154,,06/17/2024
,07/01/2024,Invoice,1167,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,35.00,35.00,"2,362.11",Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,1Z2W49000328625858,,07/01/2024
